Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Club sandwich ,1 serving,,235.32,7.31,15.12,1.81,18.51,2.01,461.66,115.68,0.86,6,17.42
Club soda,12 oz.,346,0,0,0,0,0,,,,,,
Coco pine cooler,1 serving,,32.75,0.56,1,0.26,5.72,5.52,23.2,17.81,0.13,10.67,12.64
Cocoa,1 cup,252,235,8,11,0,26,,,,,,
Coconut biscuit (Nariyal ke biscuit),1 serving,,434.98,5.78,27.16,3.64,42.9,20.76,105.76,37.81,1.32,0.03,2.51
Coconut burfi (Nariyal ki burfi),1 serving,,467.64,8.81,34.63,3.5,32.15,31.5,27.63,272.81,1.82,0,26.6
Coconut chutney (Nariyal ki chutney),1 serving,,265.92,3.59,25,6.73,8.29,3.79,428.28,15.7,1.25,4.13,4.74
Coconut finger,1 serving,,274.86,7.09,8.86,1.87,42.56,28.55,46.86,24.04,1.31,0,15.88
Coconut kheer (Nariyal ki kheer),1 serving,,162.61,3.4,10.55,1.53,14.42,13.73,45.97,89.52,0.53,12.21,49.34
Coconut pickle (Nariyal ka aachar),1 serving,,517.26,3.02,51.71,6.35,11.53,8.98,176.54,44.78,2.62,1.71,5.56
coconut sweetened,1/2 cup,50,274,1,20,2,26,,,,,,
Cod,3 1/2 oz.,100,170,28,5,0,0,,,,,,
Coffee,1 cup,230,3,0,0,0,1,,,,,,
Coffee biscuit,1 serving,,416.57,6.9,23,1.59,46.55,21.69,112.53,48.92,1.27,0.03,3
Coffee drops,1 serving,,443.07,7.57,27.16,1.88,43.06,18.27,88.17,57.09,1.48,0.03,2.72
Coffee ice cream,1 serving,,150.62,3.15,9.43,0,14.09,13.35,42.09,95.72,0.15,2.16,7.18
Coffee pear alaska,1 serving,,203.99,2.88,13.22,0.15,19.36,16.88,51.11,60.61,0.22,3.48,13.85
Cola drinks,12 oz.,346,137,0,0,0,38,,,,,,
Cold chocolate souffle,1 serving,,187.53,6.37,10.86,0,17.22,15.31,47.77,62.91,0.68,1.3,32.45
Cold coffee (with cream),1 serving,,82.76,1.93,3.29,0,11.98,11.91,15.35,64.43,0.14,2.56,9.52
Cold coffee with ice cream,1 serving,,67.85,1.57,2.11,0.01,11.24,11.18,13.84,53.29,0.12,2.53,9.49
Cold cucumber cream soup ,1 serving,,11.88,0.34,0.34,0.73,1.76,0.51,207.89,8.02,0.16,14.72,24.84
Cold cucumber soup (Thanda kheere ka soup),1 serving,,48.03,2.99,1.99,0.88,4.58,3.34,121.32,99.79,0.32,5.05,27.42
Cold lemon souffle,1 serving,,169.87,5.89,9.78,0,15.62,13.88,46.35,55.03,0.53,8.65,31.24
Cold orange souffle,1 serving,,173.19,5.94,9.82,0.11,16.27,14.42,46.53,55.45,0.57,10.08,33.8
Cold pineapple souffle,1 serving,,181.22,6.23,10.39,0,16.85,14.99,49.38,57.13,0.54,1.88,30.3
Cold summer garden soup,1 serving,,49.19,8.57,14.08,1.86,2.65,0.46,9919.62,43.93,2.13,16.3,43.26
Cold tomato soup,1 serving,,16.9,0.11,1.56,0.16,0.59,0.22,287.15,4.2,0.1,10.09,5.63
Cold vanilla souffle,1 serving,,179.54,6.22,10.32,0,16.29,14.49,49.09,62.47,0.52,1.3,30.71
Coleslaw,1 serving,,76.71,1.24,5.32,2.34,5.59,3.62,29.87,37,0.63,22.99,41.98
Collards,1 cup,150,51,5,0,2,8,,,,,,
Consomme au julienne,1 serving,,27.76,12.49,10.66,1.38,1.49,0.83,10208.47,85.89,3.34,11.77,55.26
Consomme au vermicelli,1 serving,,29.94,15.23,12.98,0.81,1.3,0.27,12524.61,97.34,3.98,2.44,20.12
Converted,1 cup,187,677,14,0,0.4,142,,,,,,
cooked or canned,1 cup,200,170,5,0,1.6,41,,,,,,
Coriander chutney (Hare dhaniye ki chutney),1 serving,,42.86,1.38,0.37,2.47,8.16,5.5,186.64,39.8,1.63,4.24,3.57
Corn,1 ear,100,92,3,1,0.8,21,,,,,,
Corn bread ground meal,1 serving,50,100,3,4,0.3,15,,,,,,
Corn grits cooked,1 cup,242,120,8,0,0.2,27,,,,,,
Corn meal,1 cup,118,360,9,4,1.6,74,,,,,,
Corn oil,1 T.,14,125,0,14,0,0,,,,,,
Corn omelette/omlet,1 serving,,166.93,11.37,12.89,0.02,1.57,0.41,166.42,96.22,1.34,2.9,81.65
Corned beef,3 oz.,85,185,22,10,0,0,,,,,,
Corned beef hash canned,3 oz.,85,120,12,8,0,6,,,,,,
Corned beef hash Dried,2 oz.,56,115,19,4,0,0,,,,,,
Corned beef hash Stew,1 cup,235,185,15,10,0,15,,,,,,
Cornflakes,1 cup,25,110,2,0,0.1,25,,,,,,
Cornflakes with milk,1 serving,,117.33,3.59,5.12,0.78,14.95,9.97,26.55,106.47,0.42,4.82,43.87
Cottage cheese pie,1 serving,,238.98,7.45,13.83,2.21,20.66,3.62,103.29,108.05,0.92,36.25,124.39
Cow's milk,1 qt.,976,660,32,40,0,48,,,,,,
Crab meat,3 oz.,85,90,14,2,0,1,,,,,,
Cracked wheat and green gram dal premix (Dalia moong dal premix),1 serving,,362.16,15.89,5.11,11.66,64.75,0.63,3.25,49.03,4.28,,
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),1 serving,,167.45,7.56,5.52,3.74,22.35,3.79,224.95,123.04,2.17,,
Cracked wheat porridge (Meetha daliya),1 serving,,81.57,2.64,4.08,0.62,8.87,5.12,15.89,75.88,0.32,5.03,17.58
Crackers,2 med.,14,55,1,1,0,10,,,,,,
Cranberry cookies,1 serving,,272.48,3.92,12.66,1.13,36.39,19.96,58.25,36.16,0.71,5.52,17.21
Cranberry sauce sweetened,1 cup,277,530,0,0,1.2,142,,,,,,
Cream buns,1 serving,,215.74,4.45,15.81,0.31,14.16,5.95,45.49,45.27,0.5,0.33,9.28
Cream cheese,1 oz.,28,105,2,11,0,1,,,,,,
Cream horns,1 serving,,408.23,3.42,33.55,0.6,23.12,7.12,57.11,30.93,0.44,0.5,8.8
Cream of broccoli soup,1 serving,,56.14,8.97,12.75,1.89,3.72,1.59,8792.43,66.55,1.82,68.91,94.43
Cream of carrot soup,1 serving,,59.77,8.27,12.35,1.98,5.69,1.77,8694.79,57.24,1.73,10.68,37.89
Cream of green peas soup,1 serving,,127.84,7.13,14.78,2.95,6.75,1.61,4999.7,51.01,1.48,52.28,88.58
Cream of mixed vegetable soup,1 serving,,59.65,6.84,9.05,2.14,4.93,2.1,5655.45,65.26,1.36,39.02,54.46
Cream of mushroom soup,1 serving,,117.28,6.64,15.5,1.34,3.74,1.93,5276.06,70.56,1.81,5.79,30.72
Cream of potato soup,1 serving,,60.2,8.1,12.05,1.51,6.14,1.24,8503.99,51.97,1.7,28.86,33.19
Cream of spinach soup,1 serving,,100.54,5.21,13.31,1.74,3.45,1.13,4429.81,70.77,2.1,63.34,298.06
Cream of tomato soup,1 serving,,97.81,4.61,13.12,1.38,3.93,1.81,4461.22,39.61,0.95,53.23,44.01
Cream or half-and-half,1/2 cup,120,170,4,15,0,5,,,,,,
Cream puffs,1 serving,,221.33,4.7,15.48,0.38,16,5.94,98.76,37.93,0.58,0.2,8.79
Cream soups,1 cup,255,200,7,12,1.2,18,,,,,,
Creamed spinach,1 serving,,96.91,5.18,6.39,1.33,4.44,1.59,156.02,122.3,1.89,62.17,320.46
Creamed spinach and mushroom,1 serving,,419.62,2.28,44.14,1.02,3.17,1.17,90.21,65.49,0.9,48.37,234.02
Creamy chicken,1 serving,,152.87,13.52,9.57,0.69,3.13,2.11,97.08,50.37,0.82,7.46,32.64
Creamy chocolate mousse,1 serving,,230.52,6.85,18.16,0,9.53,8.99,48.64,45.25,0.96,0.75,33.07
Crispy baked fish,1 serving,,138.4,10.95,6.41,1.21,9.59,1.53,192.42,60.04,0.55,16.97,46.78
Crispy okra/Crispy lady's fingers (Karare bhindi),1 serving,,657.76,1.91,70.4,1.75,4.35,0.26,40.42,27.61,0.56,18.14,90.04
Crunchy butterscotch,1 serving,,277.32,3.11,20.99,0.47,19.92,17.73,22.24,72.26,0.26,2.13,18.72
Cucumber and yogurt salad (Kheere aur dahi ka salad),1 serving,,36.13,2.09,0.93,1.66,4.72,2.28,141.73,68.49,0.52,6.74,21.36
Cucumber raita (Kheere ka raita),1 serving,,59.13,4.04,2.08,0.86,6.35,5.22,189.96,138.58,0.29,5.65,26.92
Cucumber sandwich (Kheere ka sandwich),1 serving,,188.6,4.8,8,2.45,25.77,1.64,362.64,87.84,1.02,1.53,12.96
Cucumber sharbat (Kheere ka sharbat),1 serving,,27.28,0.26,0.06,0.78,6.64,5.46,2.57,6.49,0.18,9.16,25.26
Cucumbers,8,50,6,0,0,0.2,1,,,,,,
Cumin infused water (Jeere/Zeere ka pani),1 serving,,9.09,0.17,0.11,0.46,1.86,1.46,189.6,10.84,0.32,3.61,3.14
Cumin pulao (Jeera/Zeera pulao),1 serving,,135.24,2.47,3.2,1.4,23.61,0.64,219.73,7.25,0.33,1.42,13.85
Cumin seeds baghar (Jeera baghar/tadka),1 serving,,736.81,3.34,78.77,6.01,5.22,0.49,177.58,177.77,5.09,,
Cupcake,1,50,160,3,3,0,31,,,,,,
Curd dip,1 serving,,79.95,5.04,3.36,0.1,7.95,7.12,301.07,167.17,0.25,,
Curd dressing ,1 serving,,78.8,5.59,2.9,0.22,8.03,7.57,204.62,194.59,0.18,5.34,39.4
Curd mint dip ,1 serving,,76.13,4.82,2.44,0.77,9.11,7.83,222.77,172.79,0.82,3.28,7.82
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),1 serving,,195.74,5.75,4.32,2.13,32.93,3.91,213.29,101.52,0.59,5.1,28.24
Curd vegetable dip,1 serving,,56.21,3.88,1.94,0.63,6.04,5.42,132.48,129.58,0.37,4.53,5.78
Curd with potatoes (Dahi aloo),1 serving,,59.9,1.56,2.72,1.19,7.15,1.82,51.99,36.36,0.47,42.93,44.72
Curried Cauliflower soup,1 serving,,37.32,6.72,9.77,2.34,3.12,1.79,7311.44,37.25,2.12,51.86,53.08
Custard tart,1 serving,,225.6,3.72,10.73,0.91,28.66,9.31,59.74,57.47,0.49,1.18,5.64
Dahi vadas/Dahi bhalla,1 serving,,667.73,2.96,70.4,0.97,5.49,1.78,79,49.03,0.49,0.57,18.3
Dal dhokli,1 serving,,68.74,2.96,2.47,1.86,8.55,1.12,37.53,14.54,0.79,2.77,45.31
Dal makhani,1 serving,,74.04,3.32,3.06,2.27,7.96,0.8,41.85,20.62,1.23,9.19,75.16
Dal moong,1 serving,,43.69,2.2,1.62,1.08,4.92,0.13,117.74,7.69,0.52,,
Dal parantha/paratha,1 serving,,268.24,6.78,13.05,6.46,30.03,1.43,156.13,23.89,2.45,1.8,29.02
Dal stuffed poori,1 serving,,785.16,2.08,81.69,1.96,10.14,0.29,128.18,6.88,0.83,0.42,7.65
Dalma,1 serving,,118.93,4.91,4.58,2.16,15.04,3.1,49.35,54.28,2.1,36.63,137.41
Dandelion greens,1 cup,180,80,5,1,3.2,16,,,,,,
Danedar burfi,1 serving,,102.68,3.24,4.72,0.09,12.33,11.98,23.31,107.53,0.24,3.36,9.75
Danish cookies,1 serving,,475.33,5.33,24.92,1.37,58,21.73,201.06,15.97,0.98,0,1.02
Danish luncheon sandwich,1 serving,,193.82,9.03,10.1,1.52,17.77,1.13,365.63,77.13,1.27,2.35,25.88
Date and nut pie,1 serving,,322.42,3.93,13.31,4.13,46.86,31.18,3.87,34.69,1.54,6.39,32.22
Date pickle (Khajoor ka achaar),1 serving,,182.29,1.68,4.21,5.2,34.66,30.47,138.86,41.49,1.96,3.46,15.77
Dates,1 cup,178,505,4,0,3.6,134,,,,,,
Dates chutney (Khajoor ki chutney),1 serving,,103.57,1.07,1.12,3.41,21.69,18.68,76.77,28.72,1.19,3.41,17.27
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,1 serving,,346.36,12.88,15.88,13.16,36.72,10.41,321.07,73.55,5.44,0.15,10.69
Deviled egg,1 serving,,98.56,4.97,7.72,1.15,2.23,0.82,117.29,36.84,1.51,18.42,48.39
Dhansak (vegetarian),1 serving,,82.8,3.32,4.18,4.17,7.28,0.91,34.18,26.4,1.26,13.25,45.12
Dhokla,1 serving,,216.49,13.45,5.28,4.95,30.68,4.78,376.02,123.21,1.39,0.68,39.92
Dil bahar,1 serving,,130.05,1.52,1.92,0.02,28.27,27.84,16.65,62.58,0.13,2.69,10.2
Doughnuts,1,33,135,2,7,0,17,,,,,,
"Dried, uncooked",1/2 cup,75,220,4,0,1,50,,,,,,
Dry arbi (Sookhi arbi),1 serving,,134.95,2.12,8.97,2.47,11.11,1.55,81.25,22.77,0.68,8.11,32.76
Dry mango chutney (Sookhe aam ki chutney),1 serving,,298.13,2.43,0.7,3.74,69.17,61.86,437.91,72.05,3.98,0.25,5.17
Dry masala chops,1 serving,,135.07,9.08,9.54,0.86,3.3,2.27,83.47,112.25,1.39,1.87,15.19
Dry potato (Sookhe aloo),1 serving,,103.15,1.62,4.18,1.88,14.38,0.33,199.99,17.2,0.83,23.23,15.7
Dry washed urad,1 serving,,124.71,6.85,3.5,4.06,15.66,0.73,295.79,27.08,1.89,1.46,40.3
Ducheese potato,1 serving,,140.54,3.6,9.01,1.29,10.94,0.29,103.85,18.1,0.76,7.23,8.71
"Duck, domestic",3 1/2 oz.,100,370,16,28,0,0,,,,,,
Dum aloo,1 serving,,682.33,0.7,74.01,0.68,3.33,0.71,183.85,16.49,0.36,29.39,34.41
Dundee cake,1 serving,,396.62,7.78,22.7,1.81,41.4,21.3,182.74,58.11,1.57,0.07,9.22
Egg and tomato sandwich (Ande aur tamatar ka sandwich),1 serving,,222.11,7.66,10.51,1.77,25.9,2.09,423.26,95.71,1.3,1.98,16.33
Egg cutlet (Anda cutlet),1 serving,,575.02,2.45,60.25,0.58,5.77,0.2,79.4,16.22,0.56,11.07,22.05
Egg drop soup,1 serving,,26.64,12.93,13.52,0.81,1.1,0.6,12418.84,100.14,3.93,8.51,28.19
Egg halwa (Ande ka halwa),1 serving,,299.74,7.85,13.41,0.49,39.59,37.85,83.04,35.77,1.45,0,24.67
Egg in a pepper,1 serving,,128.78,12.64,8.68,0.17,0.17,0.05,183.89,48.25,1.76,33.6,290.24
Egg nog,1 serving,,97.14,4.78,5.11,0.02,8.15,8.06,40.65,102.13,0.43,4.82,41.91
Egg pakora/pakoda (Ande ke pakode),1 serving,,710.51,2.83,75.86,0.86,4.48,0.19,75.37,9.55,0.47,0.01,121.37
Egg sandwich (Ande ka sandwich),1 serving,,285.96,8.69,15.8,1.88,29.16,1.86,461.67,110.13,1.44,0,14.92
Egg sauce,1 serving,,146.85,5.97,11.08,0.12,5.88,3.19,51.54,89.49,0.65,,
Eggless cake,1 serving,,318.08,8.12,11.75,0.68,46.14,27.7,310.5,212.97,0.61,1.35,7.58
Eggplant,1 cup,180,30,2,0,1,9,,,,,,
Eggplant/Brinjal rice (Vangi bhat),1 serving,,184.8,5.28,3.67,4.44,31.74,4.36,59.06,36.02,1.91,3.23,77.11
Eggs raw,2,100,150,12,12,0,0,,,,,,
Eggs Scrambled or fried,2,128,220,13,16,0,1,,,,,,
Endive,2 oz.,57,10,1,0,0.6,2,,,,,,
Espreso coffee,1 serving,,51.54,1.75,2.14,0,6.62,6.53,13.98,58.1,0.15,1.51,5.53
"European, as Muscat, Tokay",1 cup,160,100,1,0,0.7,26,,,,,,
"Evaporated, undiluted",1 cup,252,345,16,20,0,24,,,,,,
Farina,1 cup,238,105,3,0,8,22,,,,,,
Fermented bamboo shoot pickle (Mesu pickle),1 serving,,59.83,1.58,5.59,2.24,1.73,0.29,161.31,16.62,0.69,19.87,23.14
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),1 serving,,657.57,4.05,67.19,2.65,8.68,0.35,63.87,20.5,1.38,3.95,38.78
Fettuccine with spinach sauce,1 serving,,129.21,3.1,7.83,0.77,12.19,1.18,153.59,53.67,1.28,38.37,170.92
Figs,2,42,120,2,0,1.9,30,,,,,,
figs Canned with syrup ,3,115,130,1,0,1,32,,,,,,
Finger millet biscuit (Ragi biscuit),1 serving,,458.56,4.03,25.79,5.97,52.69,16.9,98.24,207.04,2.54,0,13.87
Finger millet cake (Ragi cake),1 serving,,279.46,3.96,12.27,2.35,38.93,24.76,98.26,118.38,1.35,0.76,11.41
Fish curry (Machli curry),1 serving,,111.13,8.76,6.69,1.89,3.77,2.02,184.71,52.06,1.09,22.48,40.45
Fish cutlet (Machli ka cutlet),1 serving,,654.64,2.77,70.11,0.54,3.13,0.29,75.33,10.44,0.36,10.46,19.06
Fish finger,1 serving,,542.9,5.66,55.82,0.34,4.47,0.17,103.55,11.38,0.38,14.13,34.81
Fish in coconut milk (Nariyal ke doodh ke saath machli),1 serving,,86.21,8.66,4.43,1.52,2.73,1.55,73.93,21.94,0.91,10.71,38
Fish orly,1 serving,,563.7,5.87,58.18,0.33,4.27,0.24,136.37,9.55,0.31,1.35,12.83
Fish pakora/pakoda,1 serving,,577.03,5.97,59.52,0.96,4.55,0.22,112.24,12.65,0.63,0.14,11.02
Fish pie,1 serving,,120.9,9.25,5.77,0.76,7.74,1.13,101.8,36.15,0.46,27.02,37.04
Fish sandwich ,1 serving,,150.2,4.72,10.37,1.23,10.09,1.04,161.88,47.28,0.69,3.89,39.29
Fish souffle,1 serving,,139.71,10.51,8.55,0.19,5.14,2.09,92.45,63.87,0.59,2.41,45.24
Fish sticks fried,5,112,200,19,10,0,8,,,,,,
Fish tikka,1 serving,,117.33,16,4.15,1.18,3.91,1.18,503.44,31.98,1.41,0.9,4.62
Flaky pastry,1 serving,,443.94,4.69,31.99,1.25,33.61,0.81,178.52,9.28,0.83,,
Flan pastry,1 serving,,445.8,6.72,25.04,1.58,47.84,6.22,193.23,21.85,1.15,0,7.11
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),1 serving,,701.71,1.76,73.89,0.86,7.39,0.27,76.65,9.17,0.59,12.63,23.98
Flavoured milkshake,1 serving,,66.78,2.06,2.83,0,8.65,8.61,16.34,75.05,0.11,3.62,12.65
Flounder,3 1/2 oz.,100,200,30,8,0,0,,,,,,
Flour,1 cup,110,460,39,22,2.9,33,,,,,,
Fortified milk,6 cups,237,228,89,42,1.4,119,,,,,,
French dressing,1 serving,,733.77,0.32,79.65,0.22,3.68,3.01,261.13,6.98,0.48,6.42,1.95
French omelette/omlet,1 serving,,211.04,10.03,18.86,0.38,0.41,0.1,381.85,46.35,1.58,0.48,25.79
French onion soup,1 serving,,55.61,11.41,14.39,1.01,4.28,1.5,11202.89,106.22,3.52,5.35,24.85
French sandwich (toasted),1 serving,,186.75,6.82,11.51,1.37,14.82,1.82,274.68,100.73,1.24,6.66,29.24
French-fried,10 pieces,60,155,-1,7,0.4,20,,,,,,
Fricassee of Mushroom,1 serving,,106.66,3.65,6.63,1.23,8.13,2.51,118.98,84.97,0.36,39.68,37.46
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),1 serving,,125.03,11.48,7.61,1.13,2.51,1.16,107.56,16.09,0.64,10.78,17.41
Fried Egg ,1 serving,,223.67,11.59,19.62,0.29,0.31,0,446.96,46.4,1.69,0,24.77
Fried fish (Indian style) (Tali hui machli),1 serving,,658.54,4.35,68.88,0.61,5.4,0.4,156.94,11.11,0.56,7.22,35.19
Fried fish and Chips (English Style) (Tali hui machli aur chips),1 serving,,651.75,3.36,69.69,0.29,2.77,0.17,72.73,6.56,0.26,22.16,31.65
"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,0,0,,,,,,
Frozen ,6-oz. can,210,330,2,0,0.4,78,,,,,,
Frozen frosty fruit salad (Phalon ka salaad),1 serving,,103.51,1.68,4.17,0.26,15.61,14.38,13.23,28.61,0.41,33.45,20.91
Frozen peas,1 cup,100,,5,0,1.8,12,,,,,,
Fruit cake,1 slice,30,105,2,4,0.2,17,,,,,,
"Fruit cocktail, canned",1 cup,256,195,1,0,0.5,50,,,,,,
Fruit delight,1 serving,,107.09,2.09,7.09,0.09,9.11,9.03,17.27,71.69,0.15,7.74,19.39
Fruit flan,1 serving,,261.35,3.3,12.48,0.71,34.71,9.52,110.04,19.28,0.61,3.3,33.99
Fruit Ice cream (Phalon ka Ice cream),1 serving,,171.46,4.37,10.38,0.33,16.05,14.03,38.78,93.35,0.36,4.02,15.6
Fruit Loaf ,1 serving,,324.19,5.36,13.31,0.87,46.49,24.54,160.6,45.71,0.96,2.47,7.82
Fruit Punch (with squashes),1 serving,,23.13,0.07,0.02,0.17,5.99,5.88,2.26,3.3,0.06,15.08,9.13
Fruit puree tart,1 serving,,286.5,3.35,16.83,1.31,30.42,9.79,49.65,19.64,0.63,2.6,6.05
Fruit salad (Phalon ka salaad),1 serving,,78.14,0.91,1.22,1.58,15.96,9.78,7.11,25.93,0.81,52.45,45.4
Fruit-flavored soda,12 oz.,346,161,0,0,0,42,,,,,,
Fudge,2 pieces,90,370,0,12,0.1,80,,,,,,
Garam masala,1 serving,,254.21,9.89,10.97,35.56,26.2,1.79,58.33,609.77,14.51,,
Garlic chickpea soup (Lahasun aur chane ka shoraba),1 serving,,89.53,4.45,2.01,2.84,13.92,2.65,79.73,13.93,0.96,13.24,380.59
Garlic chutney/Poondu chutney (Lahasun ki chutney),1 serving,,255.51,3.34,17.55,5.15,20.44,13.36,177.62,63.51,3.26,5.7,16.82
Garlic pickle (Lahasun ka achar),1 serving,,413.62,3.72,39.88,5.13,9.75,2.32,269.12,54.66,1.82,7.33,15.98
Garlic soup,1 serving,,194.86,2.38,17.62,1.66,6.99,2.39,179.26,60.55,0.73,11.12,21.85
"Gelatin, made with water",1 cup,239,155,4,0,0,36,,,,,,
Ghiya/Lauki Kofta Curry,1 serving,,638.71,0.89,69.4,0.83,2.71,0.82,91.43,11.64,0.33,21.87,87.12
Ghujia/Lavang latika,1 serving,,768.98,1.86,78.93,0.52,13,6.08,3.28,31.01,0.44,0.01,6.86
Gin,1 oz.,28,70,0,0,0,0,,,,,,
Ginger ale,12 oz.,346,105,0,0,0,28,,,,,,
Ginger biscuit (Adarak ke biscuit),1 serving,,417.91,5.98,18.31,1.49,58.44,27.06,79.68,25.97,2.2,0,1.59
Ginger bread man,1 serving,,365,6.61,11.01,1.6,60.26,29.12,477.99,37.92,2.12,0.09,4.65
Ginger candy (Adrak ki candy),1 serving,,195.71,0.69,0.27,1.67,50.38,47.99,5.4,10.43,0.68,,
Ginger chicken,1 serving,,129.17,8.24,8.24,1.21,5.6,1.95,365.86,18.41,0.96,49.96,64.3
Gingerbread,1 slice,55,180,2,7,0,28,,,,,,
Gingerman biscuit,1 serving,,357.43,6.26,12.73,2,55.24,21.64,918.57,41.35,1.59,3.65,4.91
Gingo,1 serving,,48.02,0.14,0.06,0.17,12.42,12.08,21.5,6.33,0.21,8.39,8.49
Glace icing,1 serving,,323.51,0.01,0.01,0,86.31,85.35,9.88,1.95,0.41,,
Goats' milk,1 cup,244,165,8,10,0,11,,,,,,
Gobi 65,1 serving,,278.29,0.56,29.11,0.57,3.59,0.29,69.22,12.37,0.3,27.52,37.66
Gooseberry chutney (Amla chutney),1 serving,,43.02,1.44,0.62,4.58,8.83,0.06,215.09,46.4,1.22,4.84,2.23
Gooseberry marmalade (Amla murabba),1 serving,,123.16,0.14,0.03,0,32.34,28.61,216.89,16.4,0.38,,
Gooseberry pickle (Amla ka achaar),1 serving,,278.58,1.55,27.61,3.7,7.61,0.36,86.38,31.17,1.04,4.85,2.09
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),1 serving,,758.89,2.08,80.04,1.39,7.63,0.25,74.88,12.13,0.67,3.8,34.83
Gram flour and semolina dhokla (Besan suji dhokla),1 serving,,198.91,8.52,7.1,4.59,25.92,2.58,196.59,66.66,1.6,6.55,76.09
Gram flour burfi (Besan burfi),1 serving,,421.79,11.19,22.41,3.41,46.59,28.44,13.02,160.71,1.47,0,32.38
Gram flour chilla/cheela (Besan chilla/cheela),1 serving,,135.93,7.8,2.85,4.25,21.03,1.87,135.57,28.38,2.19,1.73,34.69
Gram flour halwa (Besan halwa),1 serving,,276.79,5.88,17.3,1.82,25.78,15.83,15.4,77.42,0.67,1.66,51.61
Gram flour ladoo (Besan ladoo),1 serving,,476.91,8.93,22.76,4.43,62.61,37.76,5.48,25.35,1.51,0,24.79
Gram flour poori (Besan poori),1 serving,,697.66,2.59,71.51,1.94,10.93,0.35,58.33,7.09,0.71,0,11.18
Grape and orange whip,1 serving,,57.39,1.41,2.62,0.97,6.72,5.66,14.36,17.4,0.53,34.86,16.85
Grape juice,1 cup,250,160,1,0,0,42,,,,,,
Grapefruit juice,1 cup,250,100,1,0,1,24,,,,,,
Grapefruit sections,1 cup,250,170,1,0,0.5,44,,,,,,
"Grapefruit, fresh, 5"" diameter",1-Feb,285,50,1,0,1,14,,,,,,
Grapes,1 cup,153,70,1,0,0.8,16,,,,,,
Grapes raita (Angoor ka raita),1 serving,,72.59,3.98,2.07,0.71,9.66,8.51,135.64,134.52,0.26,10.55,22.88
Gravy for kofta,1 serving,,125.59,1.75,10.35,1.96,6.31,3.73,312.86,39.65,0.75,17.05,27.6
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),1 serving,,173.43,4.88,4.82,3.15,27.57,2.48,170.05,18.94,0.95,5.43,301.13
Green chilli raita (Hari mirch ka raita),1 serving,,77.13,5.58,2.92,0.26,7.66,7.49,161.31,193.58,0.21,4.3,18.82
Green chilli sauce,1 serving,,46.06,1.25,0.27,1.77,7.36,5.36,1037.04,9.89,0.64,,
Green chutney,1 serving,,79.42,5.42,1.6,5.84,10.01,0.92,262.81,112.74,4.58,7.35,15.53
Green gram whole with baghar (Sabut moong dal with tadka),1 serving,,63.43,3.23,2.48,3.02,6.8,0.15,181.69,25.04,1,0.48,45.28
Green pea soup (Matar ka soup),1 serving,,39.81,11.06,12.9,2.49,3.63,0.87,10958.11,46.63,2.18,41.12,65.46
Green tomato pickle (Haray tamatar ka achaar),1 serving,,193.26,1.23,19.67,1.74,2.87,0.77,159.18,14.22,0.77,8.21,7.15
Greenpea cookies,1 serving,,159.42,6.53,4.24,5.32,23.07,14.45,229.9,48.45,1.47,16.8,28.24
Ground lean,3 oz.,85,185,24,10,0,0,,,,,,
Guava jelly (Amrood ki jelly),1 serving,,115.74,1.11,0.25,6.61,28.18,27.38,3.36,16.55,0.29,,
Guava raita (Amarood ka raita),1 serving,,64.36,4.19,2.07,3,7.27,6.71,135.94,136.93,0.28,108.7,33.5
Gujarati handvo ,1 serving,,207.09,8.24,4.8,4.95,31.86,2.51,308.55,68.21,2.03,31.39,374.11
Gulab Jamun with khoya,1 serving,,586.06,2.03,53.23,0.07,26.09,24.12,15.09,67.32,0.39,0.02,16.44
Gulab jamun with milk powder,1 serving,,471.15,0.85,40.15,0.05,28.24,27.04,67.28,26.13,0.13,0.41,4.56
Gum icing,1 serving,,223.07,5.94,0,0,53.19,52.63,29.32,18.62,0.4,,
Gun powder chutney,1 serving,,312.34,21.55,2.67,13.95,47.65,1.16,195.67,68.87,5.14,0.02,14.27
Gunjia,1 serving,,667.34,2.98,70.28,1.13,5.68,2.05,77.9,48.16,0.5,0.51,19.06
Haddock,3 oz.,85,135,16,5,0,6,,,,,,
Halibut,3 1/2 oz.,100,182,26,8,0,0,,,,,,
Ham and Bean soup,1 serving,,96.04,10.61,4.15,0.54,4.18,1.43,378.14,20.52,0.88,22.31,103.7
Ham pan-broiled,3 oz.,85,290,16,22,0,0,,,,,,
"Ham, as ",2 oz.,57,170,13,13,0,0,,,,,,
"Ham, canned, spiced",2 oz.,57,165,8,14,0,1,,,,,,
