Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Boiled egg (Ubla anda),1 serving,,45.35,4.43,3.04,0.11,0.12,0,170.94,17.75,0.64,0,24.77
Boiled rice (Uble chawal),1 serving,,117.19,2.6,0.18,1.25,25.72,0.22,1.05,2.7,0.24,0,9.75
Boondi raita,1 serving,,687.72,2.19,73.83,0.46,3.96,1.88,99.18,49,0.24,0.77,37.83
Boti kebab,1 serving,,132.86,9.22,9.27,0.76,3.06,2.09,78.14,98.67,1.41,4.52,6.58
Bottle gourd burfi (Ghiya/Lauki burfi),1 serving,,275.96,5.86,17.68,0.73,24.51,23.92,18.15,215.85,0.93,1.08,34.06
Bottle gourd kheer (Ghiya/Lauki kheer),1 serving,,84.07,2.7,3.86,0.55,10,9.63,19.62,94.18,0.23,6.2,35.87
Bottle gourd raita (Ghiya/Lauki ka raita),1 serving,,56.31,3.98,2.07,0.85,5.76,5.25,188.37,138.26,0.23,4.76,39.49
Bottle gourd soup (Ghiya/Lauki soup),1 serving,,23.05,0.45,1.79,0.96,1.16,0.39,53.81,15.14,0.26,6,52.73
Bouillon,1 cup,240,24,5,0,0,0,,,,,,
Bran flakes,1 cup,25,117,3,0,0.1,32,,,,,,
Brazil nuts,1/2 cup,70,457,10,47,2,7,,,,,,
Bread and butter pudding ,1 serving,,167.94,5.59,7.88,0.98,19.63,11.84,96.3,105.54,0.9,1.58,21.41
Bread pakora/pakoda,1 serving,,710.99,2.57,74.2,1.11,8.87,0.46,101.49,19.83,0.46,0.01,114.11
Bread pudding,3/4 cup,200,374,11,12,0.2,56,,,,,,
Bread roll,1 serving,,435.46,2.85,40.25,1.45,16.12,0.94,139.34,44.83,0.71,6.79,15.69
Bread sauce,1 serving,,111.04,3.46,7.05,0.56,8.69,4.63,88.84,110.72,0.31,,
Bread upma,1 serving,,129.51,2.8,7.75,1.96,12.6,1.56,176.44,45.22,0.82,4.64,15.79
"Bread, cracked wheat",1 slice,23,60,2,1,0.1,12,,,,,,
Brinjal bhartha (Baingan ka bhartha),1 serving,,65.12,1.38,4.48,3.27,4.4,1.82,132.15,17.85,0.48,24.05,92.42
Brinjal pickle (Baingan ka achaar),1 serving,,139.01,2.24,12.98,4.62,4.23,1.07,3507.59,37.28,2.16,,
Broccoli,1 cup,150,45,5,0,1.9,8,,,,,,
Broccoli chicken ala king,1 serving,,119.56,7.97,7.57,1.92,5.34,2.49,104.01,73.36,0.78,79.81,105.46
Broccoli delight,1 serving,,40.7,2.49,2.48,2.83,2.34,1.08,59.26,26.99,0.71,79,97.64
Brown sauce,1 serving,,109.18,11.92,23.67,1.69,5.38,0.13,14174.59,40.44,2.46,,
Brown stock,1 serving,,21.32,1.95,1.38,0.09,0.25,0.14,44.6,17.16,0.3,1.5,6.33
"Brown, firm-packed, dark sugar",1 cup,220,815,0,0,0,210,,,,,,
Brussels sprouts,1 cup,130,60,6,0,1.7,12,,,,,,
Buckwheat pancake (Khura),1 serving,,263.3,2.91,16.43,0.56,27.28,0.64,69.97,11.32,0.69,0.66,3.38
Butter,1T.,14,100,0,11,0,0,,,,,,
Butter chicken,1 serving,,137,10.92,8.7,1.32,3.74,2.37,26.21,25.28,0.92,32.65,40.85
Butter icing,1 serving,,500.72,0.19,25.37,0,71.64,71.64,5.98,12.48,0.14,0,0
Butterfly biscuit,1 serving,,341.45,9.98,22.11,1.02,25.33,2.44,572.05,202.49,1.09,0.03,2.63
Buttermilk,1 cup,246,127,9,5,0,13,,,,,,
Buttermilk biscuit,1 serving,,322.54,5.76,17.5,1.18,34.93,3.44,323.74,67.16,0.77,0,11.23
Cabbage and peas (Pattagobhi aur matar),1 serving,,63.88,3.24,2.64,3.99,6.24,0.97,253.73,45.5,1.1,54.84,75.95
Cabbage kheer (Pattagobhi ki kheer),1 serving,,83.51,2.87,3.8,0.51,9.73,9.28,22.67,102.74,0.24,17.36,33.51
Cabbage kofta curry (Pattagobhi kofta curry),1 serving,,639.81,0.98,69.4,0.9,2.87,0.89,92.85,15.46,0.34,43.56,90.4
Cabbage manchurian (Pattagobhi manchurian),1 serving,,224.26,0.64,22.48,0.37,4.85,0.33,75.02,3.18,0.2,28.39,30.24
Cabbage raita (Pattagobhi raita),1 serving,,84.84,3.24,5.76,0.93,5.25,4.21,125.31,118.49,0.19,28.29,53.73
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),1 serving,,142.48,8.21,9.36,1.84,6.09,1.26,118.05,31.54,0.98,12.69,19.01
Cajun chicken,1 serving,,184.94,12.69,13.99,0.89,1.94,1.1,1740.13,156.98,0.53,45.44,44.55
Cakes,1 slice,40,110,3,0,0,23,,,,,,
Candied,1 med.,175,235,2,6,1.5,80,,,,,,
Candy,5,25,104,0,3,0,19,,,,,,
Cane Syrup,1 T.,20,50,0,0,0,13,,,,,,
Canjee,1 serving,,6.61,0.24,0.42,0.36,0.44,0.21,43.03,5.82,0.17,0.52,3.61
Cantaloupe,1/2 med.,380,40,1,0,2.2,9,,,,,,
Caramel custard (baked),1 serving,,122.7,5.11,5.01,0,14.95,14.92,44.78,90.59,0.53,3.02,35.21
Caramel ice cream,1 serving,,173.52,4.31,11.15,0.08,14.81,14.52,33.47,87.32,0.35,3.27,25.96
Carbonated drinks Artificially sweetened,12 oz.,346,0,0,0,0,0,,,,,,
Cardamom cookies (Elaichi cookies),1 serving,,400.49,5.1,19.12,2.79,53.99,38.99,98.45,25.21,1.41,0,34.95
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),1 serving,,106.61,1.82,8.62,4.52,4.99,2.36,219.6,48.63,0.84,41.01,72.27
Carrot and fenugreek leaves (Gajar methi),1 serving,,61.92,2.1,3.81,4.43,4.17,2.11,262.91,128.83,2.72,51.83,81.67
Carrot and spinach raita (Gajar aur palak ka raita),1 serving,,56.83,4,1.99,1.39,5.83,4.93,180.79,142.57,1.04,19.29,95.51
Carrot apple sandwich (Gajar aur seb ka sandwich),1 serving,,214.11,5.3,9.12,3.66,29.04,5.3,302.88,118.05,1.8,2.7,21.7
Carrot cake (Gajar ka cake),1 serving,,255.59,5.6,10.27,2.93,35.98,23.96,158.74,156.1,1.03,3.12,17.06
Carrot halwa (Gajar ka halwa),1 serving,,172.64,3.11,9.73,2.65,18.53,16.85,39.96,106.94,0.76,6.53,44.8
Carrot kheer (Gajar ki kheer),1 serving,,85.35,2.81,3.85,0.73,10.09,9.63,28.54,100.12,0.28,6.54,24.59
Carrot murabba (Gajar ka murabba),1 serving,,175.24,0.32,0.16,1.39,45.6,44.83,19.53,15.86,0.28,,
Carrot raita (Gajar ka raita),1 serving,,64.78,4.14,2.19,1.69,7.19,5.99,274.46,146.72,0.55,7.76,32
Carrots,1 cup,150,45,1,0,0.9,10,,,,,,
Cashewnut burfi (Kaju burfi/Kaju katli),1 serving,,421.74,5.48,28.46,1.12,37.92,31.43,4.23,12.95,1.79,0,2.1
Cashews,1/2 cup,70,392,12,32,0.9,20,,,,,,
Cauliflower,1 cup,120,30,3,0,1,6,,,,,,
Cauliflower au gratin,1 serving,,145.9,4.45,10.2,1.44,9.13,3.01,164.96,119.69,0.57,50.15,69.55
Cauliflower basket,1 serving,,90.95,5.21,5.88,2.4,3.97,1.47,194.22,100.19,0.92,71.55,88.46
Cauliflower canjee (Phoolgobhi ki canjee),1 serving,,6.9,0.39,0.42,0.49,0.35,0.09,41.45,6.26,0.22,7.86,9.26
Cauliflower kheer (Phoolgobhi ki kheer),1 serving,,81.95,3.04,3.95,0.55,8.78,8.49,25.19,101.75,0.3,23.92,36.87
Cauliflower kofta curry (Phoolgobhi kofta curry),1 serving,,641.1,1.04,69.62,1,2.62,0.83,93.65,12.26,0.4,53.98,89.51
Cauliflower musallam (Phoolgobhi musallam),1 serving,,58.83,1.89,3.55,3.06,4.48,1.71,123.36,24.61,0.83,71.44,76.8
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),1 serving,,671.63,1.98,71.86,1.26,4.52,0.23,66.54,8.44,0.42,37.72,133.47
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),1 serving,,178.07,3.73,9.47,4.68,18.84,1.15,190.03,22,1.59,17.61,26.32
Cauliflower potato canjee,1 serving,,16.79,0.57,0.39,0.69,2.63,0.13,35.58,6.78,0.28,15.57,14.43
Cauliflower with coconut (Nariyal ke saath phoolgobhi),1 serving,,132.11,2.64,11.56,5.27,3.99,1.71,286.06,35.37,1.33,51.79,59.84
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",1 serving,,95.67,2.75,5.54,3.26,8.23,1.47,86.29,21.05,0.98,53.51,60.04
Celery,1 cup,100,20,1,0,1,4,,,,,,
Cereal mix ,1 serving,,120.81,3.32,2.02,2.03,21.84,10.68,9.29,21.4,1.18,0.62,23.98
Cereal pulse mix with amylase rice flour,1 serving,,151.57,4.27,2.74,3.47,27.8,8.84,1.03,12.61,1.19,0,18.71
Channa murmura premix,1 serving,,339.09,10.59,3.28,8.21,72.59,1.52,206.28,21.36,4.58,,
Chapati/Roti,1 serving,,202.31,5.88,3.56,6.31,35.65,1,1.16,17.22,2.28,0,5.84
Chard steamed,1 cup,150,30,2,0,1.4,7,,,,,,
Charlotte rousse,1 serving,,188.29,3.95,4.78,1.01,34.08,20.48,56.45,34.95,0.53,25.28,28.72
Chat masala,1 serving,,222.58,8.19,9.91,18.62,23.87,0.79,11873.64,519.5,13.27,,
Checker board sandwich,1 serving,,348.37,7.37,24.65,2.22,25.94,2.9,358.25,188.02,1.11,0.05,8.52
Cheddar,1-in. cube,17,70,4,6,0,0,,,,,,
"Cheddar, grated cup",1/2 cup,56,226,14,19,0,1,,,,,,
Cheese,1 cup,225,240,30,11,0,6,,,,,,
Cheese and chilli sandwich ,1 serving,,218.11,6.8,9.78,2.08,27.4,2.38,437.5,113.79,0.99,12.3,16.14
Cheese and mushroom omelette/omlet,1 serving,,205.63,9.69,17.82,0.93,1.68,1.07,400.29,148.77,1.01,0.48,32.02
Cheese and mushroom tart,1 serving,,246.1,5.51,15.28,1.18,21.43,3.16,212.42,100.97,0.59,6.53,7.96
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),1 serving,,257.71,8.2,12.8,2.33,29.1,4.1,571.96,199.73,1.04,3.64,12.08
Cheese and tomato pancake,1 serving,,147.39,5.15,9.28,1.06,10.66,3.48,281.62,127.51,0.64,9.72,16.52
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),1 serving,,243.32,7.92,12.27,1.97,26.92,2.85,549.71,191.2,1,3.16,12.18
Cheese balls,1 serving,,681.28,2.21,72.57,0.18,4.81,0.63,120.7,30.01,0.32,0.01,2.95
Cheese noodle ring,1 serving,,133.67,6.22,6.12,1.27,13.96,2.84,241.96,99.3,0.79,24.19,94.77
Cheese open sandwich,1 serving,,274.07,9.84,14.24,1.74,28.42,3.24,504.41,256.25,1.22,0.6,12.93
Cheese patties,1 serving,,324.01,7.38,22.67,1.24,22.23,3.93,295.22,126.41,0.82,3.37,31.43
Cheese pizza,1 serving,,249.5,5.79,12.43,1.95,30.62,3.42,397.73,96.51,1.09,6.72,15.85
Cheese pudding,1 serving,,285.01,11.29,18.37,0.05,19.27,18.63,37.83,226.11,0.87,0.3,60.43
Cheese sauce,1 serving,,194.76,7.68,15.12,0.12,7.08,4.53,317.38,255.14,0.31,,
Cheese soup,1 serving,,41.13,12.39,17.07,1.8,1.87,0.84,13695.35,83.65,2.4,5.29,20.27
Cheese straws,1 serving,,382,9.83,24.28,1.29,30.61,1.79,587.42,160.64,1.29,0,2.35
Cheese toast,1 serving,,785.37,1.98,84.11,0.31,5.49,0.53,121.05,43.87,0.31,0,6.85
Chenna murki,1 serving,,252.69,10.46,8.2,0,36.01,35.55,11.4,266.85,0.55,0,46.65
Cherries,1 cup,257,100,2,1,2,26,,,,,,
Cherry and walnut cookies,1 serving,,422.6,5.63,18.75,1.3,59.35,30.37,114.62,46.27,1.31,0,2.49
Cherry Pie,1 slice,135,340,3,13,0.1,55,,,,,,
Chhena poda,1 serving,,344.57,13.68,17.94,1.4,33.64,30.65,13,295.29,1.41,0.09,42.67
Chicken and cheese souffle,1 serving,,182.35,9.07,14.74,0.26,3.47,2.46,120.93,61.71,0.63,2.4,28.77
Chicken and corn open sandwich,1 serving,,188.16,8.63,8.83,1.67,19.21,2.48,226.72,65.13,0.8,2.12,14.16
Chicken and tomato towers,1 serving,,100.55,6.9,6.99,1.14,2.36,1.21,76.02,17.54,0.77,56.69,49.49
Chicken chowmein,1 serving,,151.33,6.33,8.23,1.64,13.3,1.63,288.15,26.1,0.89,84.96,102.27
Chicken consomme (Clear chicken soup),1 serving,,47.94,11.47,12.02,1.57,1.19,0.54,8953.64,35.48,1.82,2.1,11.38
